Date,Opening price,Highest price,Lowest price,Closing price,Ups and downs,Quote,Volume,Transaction amount,Amplitude,Turnover rate
2020-02-18,30.01,30.05,29.52,29.70,-0.72,-2.37,"785,952","233,463",1.74,0.81
2020-02-17,30.94,30.95,29.92,30.42,-0.38,-1.23,"1,022,139","309,865",3.34,1.05
2020-02-14,30.00,30.80,29.97,30.80,0.85,2.84,"1,197,703","364,884",2.77,1.23
2020-02-13,29.48,30.75,29.46,29.95,0.87,2.99,"895,698","270,431",4.44,0.92
2020-02-12,28.99,29.30,28.85,29.08,0.00,0.00,"417,587","121,304",1.55,0.43
2020-02-11,28.55,29.53,28.55,29.08,0.41,1.43,"685,354","200,443",3.42,0.70
2020-02-10,27.25,28.88,27.12,28.67,1.17,4.25,"911,238","257,564",6.40,0.94
2020-02-07,27.49,27.60,27.21,27.50,-0.40,-1.43,"713,785","195,669",1.40,0.73
2020-02-06,27.75,28.12,27.42,27.90,0.26,0.94,"871,869","241,285",2.53,0.90
2020-02-05,27.51,27.98,27.22,27.64,0.02,0.07,"800,686","221,343",2.75,0.82
2020-02-04,26.90,27.87,26.90,27.62,0.99,3.72,"1,036,283","283,900",3.64,1.07
2020-02-03,26.09,27.52,26.08,26.63,-2.35,-8.11,"1,530,865","411,985",4.97,1.57
2020-01-23,29.70,29.78,28.68,28.98,-1.13,-3.75,"986,949","288,450",3.65,1.01
2020-01-22,29.20,30.34,29.18,30.11,0.90,3.08,"937,710","279,644",3.97,0.96
2020-01-21,29.56,29.86,29.02,29.21,-0.66,-2.21,"817,969","239,981",2.81,0.84
2020-01-20,30.50,30.51,29.52,29.87,-0.59,-1.94,"915,638","273,099",3.25,0.94
2020-01-17,30.62,30.85,30.32,30.46,-0.07,-0.23,"472,219","144,267",1.74,0.49
2020-01-16,30.62,30.93,30.40,30.53,0.04,0.13,"581,396","177,930",1.74,0.60
2020-01-15,31.30,31.49,30.46,30.49,-0.90,-2.87,"672,944","207,144",3.28,0.69
2020-01-14,31.55,31.79,31.37,31.39,-0.29,-0.92,"419,712","132,240",1.33,0.43
2020-01-13,31.40,31.78,31.26,31.68,0.22,0.70,"620,749","195,717",1.65,0.64
2020-01-10,32.00,32.22,31.35,31.46,-0.74,-2.30,"557,444","176,252",2.70,0.57
2020-01-09,32.15,32.48,31.85,32.20,0.52,1.64,"783,734","251,993",1.99,0.81
2020-01-08,31.30,31.77,31.05,31.68,-0.08,-0.25,"529,997","166,714",2.27,0.55
2020-01-07,31.61,31.93,31.35,31.76,0.25,0.79,"577,933","182,751",1.84,0.59
2020-01-06,31.75,31.76,31.25,31.51,-0.54,-1.68,"876,841","276,145",1.59,0.90
2020-01-03,32.71,32.81,31.78,32.05,-0.51,-1.57,"805,536","258,431",3.16,0.83
2020-01-02,32.80,33.60,32.51,32.56,0.38,1.18,"1,012,130","334,237",3.39,1.04
